chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr16	66621612	66621915	0.92	0.94	0.87	0.91	0.91	0.92	0.88	0.96	0.92	0.94	0.77	0.97	0.95	0.95	0.92	0.94	0.95	0.94	0.93	0.95	0.96	0.73	0.89	0.93	0.97	0.97	0.88	0.88	0.92	0.87	0.94	0.95	0.85	0.14	0.79	0.95	0.92	0.95	0.93
chr16	66644111	66644685	0.92	0.90	0.89	0.90	0.90	0.92	0.83	0.97	0.95	0.85	0.93	0.98	0.98	0.96	0.98	0.97	0.97	0.95	0.96	0.10	0.71	0.63	0.88	0.90	0.95	0.94	0.90	0.92	0.96	0.96	0.96	0.94	0.97	0.96	0.98	0.95	0.96	0.96	0.98
chr16	66747418	66747638	0.91	0.91	0.93	0.86	0.90	0.89	0.87	0.94	0.93	0.91	0.91	0.97	0.98	0.92	0.93	0.93	0.95	0.96	0.95	0.96	0.96	0.86	0.95	0.96	0.88	0.79	0.96	0.94	0.95	0.93	0.95	0.95	0.95	0.93	0.89	0.89	0.91	0.03	0.57
chr16	66850495	66850663	0.85	0.89	0.64	0.80	0.87	0.84	0.75	0.95	0.80	0.93	0.89	0.95	0.95	0.90	0.91	0.95	0.88	0.93	0.88	0.91	0.95	0.71	0.80	0.72	0.09	0.94	0.34	0.90	0.88	0.91	0.96	0.93	0.94	0.96	0.83	0.91	0.92	0.93	0.89
chr16	66918028	66918676	0.80	0.86	0.78	0.71	0.84	0.89	0.73	0.80	0.77	0.92	0.96	0.96	0.94	0.79	0.91	0.87	0.91	0.13	0.67	0.73	0.88	0.60	0.81	0.92	0.92	0.95	0.80	0.95	0.91	0.87	0.92	0.87	0.92	0.94	0.85	0.91	0.91	0.93	0.93
chr16	67017491	67017807	0.79	0.86	0.91	0.85	0.93	0.91	0.83	0.91	0.81	0.87	0.95	0.91	0.94	0.79	0.91	0.87	0.86	0.84	0.93	0.14	0.70	0.64	0.93	0.92	0.93	0.89	0.93	0.77	0.84	0.86	0.93	0.91	0.82	0.78	0.88	0.88	0.91	0.90	0.87
chr16	67581357	67581664	0.94	0.95	0.96	0.93	0.94	0.94	0.92	0.94	0.94	0.95	0.92	0.98	0.97	0.96	0.96	0.94	0.98	0.94	0.94	0.98	0.94	0.20	0.96	0.93	0.98	0.98	0.97	0.95	0.96	0.96	0.96	0.96	0.97	0.96	0.95	0.93	0.94	0.93	0.94
chr16	67639606	67639807	0.96	0.96	0.93	0.94	0.92	0.87	0.91	0.90	0.96	0.97	0.96	0.97	0.98	0.97	0.96	0.93	0.97	0.97	0.09	0.98	0.97	0.92	0.96	0.96	0.97	0.96	0.97	0.90	0.92	0.87	0.97	0.96	0.98	0.96	0.17	0.97	0.96	0.92	0.93
chr16	67665044	67665653	0.94	0.94	0.96	0.93	0.91	0.94	0.92	0.97	0.92	0.96	0.89	0.97	0.93	0.07	0.91	0.91	0.94	0.92	0.93	0.96	0.95	0.88	0.96	0.97	0.97	0.96	0.97	0.95	0.95	0.94	0.96	0.97	0.97	0.94	0.94	0.95	0.95	0.96	0.96
chr16	67678304	67678457	0.74	0.80	0.90	0.94	0.94	0.80	0.92	0.98	0.95	0.95	0.95	0.96	0.97	0.94	0.97	0.96	0.97	0.97	0.95	0.96	0.94	0.93	0.96	0.98	0.88	0.62	0.97	0.73	0.78	0.94	0.59	0.94	0.78	0.93	0.95	0.99	0.97	0.06	0.92
chr16	67764237	67764647	0.94	0.90	0.87	0.70	0.92	0.94	0.87	0.97	0.94	0.86	0.91	0.95	0.96	0.96	0.96	0.96	0.97	0.94	0.96	0.98	0.96	0.13	0.95	0.95	0.96	0.98	0.96	0.95	0.96	0.93	0.93	0.96	0.98	0.98	0.96	0.96	0.96	0.97	0.96
chr16	67771308	67771760	0.96	0.97	0.96	0.95	0.95	0.95	0.94	0.97	0.94	0.96	0.96	0.14	0.96	0.95	0.96	0.97	0.97	0.94	0.97	0.96	0.93	0.94	0.94	0.96	0.96	0.96	0.96	0.95	0.95	0.95	0.97	0.97	0.94	0.94	0.95	0.94	0.96	0.95	0.95
chr16	67852241	67852518	0.93	0.93	0.93	0.92	0.93	0.88	0.91	0.95	0.91	0.93	0.94	0.97	0.97	0.91	0.96	0.97	0.95	0.96	0.18	0.97	0.96	0.91	0.95	0.94	0.96	0.95	0.95	0.94	0.94	0.88	0.96	0.94	0.95	0.93	0.24	0.94	0.95	0.94	0.95
chr16	67929821	67930445	0.88	0.93	0.89	0.88	0.90	0.83	0.88	0.94	0.87	0.90	0.91	0.97	0.95	0.03	0.92	0.91	0.93	0.94	0.95	0.95	0.95	0.85	0.96	0.97	0.97	0.97	0.89	0.88	0.91	0.91	0.95	0.96	0.94	0.91	0.94	0.96	0.93	0.94	0.94
chr16	68041765	68042500	0.87	0.93	0.85	0.91	0.91	0.77	0.90	0.97	0.89	0.93	0.95	0.73	0.98	0.92	0.92	0.88	0.93	0.97	0.96	0.97	0.97	0.70	0.95	0.92	0.24	0.08	0.81	0.93	0.95	0.96	0.96	0.96	0.98	0.97	0.84	0.97	0.95	0.96	0.96
chr16	68070900	68071112	0.91	0.94	0.68	0.93	0.91	0.86	0.86	0.96	0.92	0.94	0.93	0.96	0.97	0.96	0.91	0.91	0.92	0.83	0.87	0.92	0.95	0.79	0.80	0.67	0.92	0.85	0.10	0.96	0.96	0.96	0.97	0.96	0.97	0.96	0.97	0.96	0.96	0.97	0.96
chr16	68210941	68211376	0.94	0.91	0.75	0.92	0.91	0.90	0.92	0.91	0.90	0.95	0.95	0.97	0.97	0.96	0.98	0.97	0.97	0.97	0.91	0.97	0.93	0.86	0.09	0.81	0.91	0.96	0.67	0.94	0.89	0.89	0.93	0.95	0.96	0.95	0.78	0.94	0.95	0.95	0.95
chr16	68346406	68346688	0.92	0.95	0.94	0.92	0.93	0.88	0.91	0.93	0.96	0.97	0.90	0.71	0.97	0.93	0.93	0.95	0.97	0.92	0.17	0.97	0.95	0.86	0.97	0.97	0.97	0.96	0.96	0.91	0.92	0.95	0.97	0.95	0.96	0.91	0.96	0.94	0.96	0.95	0.96
chr16	68357730	68358191	0.81	0.90	0.89	0.88	0.92	0.88	0.89	0.91	0.77	0.94	0.86	0.93	0.94	0.93	0.92	0.92	0.94	0.94	0.94	0.95	0.93	0.78	0.89	0.36	0.94	0.90	0.95	0.75	0.83	0.89	0.92	0.94	0.94	0.87	0.93	0.12	0.78	0.90	0.87
chr16	68362603	68362939	0.66	0.77	0.69	0.68	0.26	0.75	0.59	0.85	0.80	0.82	0.83	0.93	0.88	0.71	0.82	0.85	0.92	0.90	0.93	0.88	0.89	0.69	0.95	0.96	0.95	0.96	0.91	0.89	0.88	0.85	0.93	0.87	0.93	0.95	0.84	0.91	0.94	0.95	0.94
chr16	68772177	68772662	0.90	0.91	0.91	0.77	0.84	0.85	0.69	0.92	0.83	0.96	0.96	0.97	0.95	0.75	0.93	0.94	0.93	0.96	0.95	0.96	0.96	0.03	0.94	0.97	0.95	0.96	0.94	0.80	0.92	0.94	0.94	0.96	0.96	0.97	0.95	0.83	0.88	0.93	0.84
chr16	68831577	68832128	0.78	0.90	0.82	0.65	0.84	0.79	0.64	0.92	0.73	0.94	0.95	0.93	0.93	0.91	0.93	0.95	0.95	0.97	0.95	0.94	0.94	0.84	0.89	0.90	0.22	0.79	0.87	0.88	0.86	0.89	0.90	0.91	0.95	0.91	0.90	0.95	0.93	0.91	0.93
chr16	68842237	68842390	0.93	0.93	0.95	0.90	0.86	0.88	0.91	0.93	0.88	0.94	0.95	0.97	0.95	0.94	0.90	0.90	0.90	0.96	0.82	0.95	0.94	0.79	0.92	0.93	0.96	0.94	0.95	0.86	0.78	0.80	0.92	0.91	0.75	0.13	0.84	0.90	0.93	0.92	0.87
chr16	68893563	68893792	0.95	0.96	0.95	0.93	0.94	0.92	0.91	0.96	0.94	0.94	0.96	0.16	0.97	0.89	0.97	0.98	0.97	0.95	0.89	0.96	0.92	0.79	0.96	0.98	0.97	0.97	0.94	0.94	0.91	0.90	0.96	0.96	0.97	0.97	0.94	0.96	0.95	0.93	0.94
chr16	68994718	68994873	0.94	0.95	0.89	0.85	0.92	0.90	0.91	0.95	0.90	0.96	0.97	0.97	0.96	0.97	0.97	0.96	0.96	0.94	0.95	0.95	0.77	0.70	0.94	0.96	0.97	0.98	0.94	0.83	0.60	0.06	0.86	0.70	0.97	0.97	0.54	0.81	0.82	0.91	0.95
chr16	69013564	69013781	0.97	0.95	0.90	0.93	0.92	0.83	0.86	0.97	0.90	0.96	0.96	0.96	0.97	0.94	0.97	0.96	0.96	0.97	0.94	0.98	0.96	0.70	0.94	0.96	0.83	0.15	0.91	0.93	0.96	0.94	0.96	0.94	0.96	0.94	0.76	0.94	0.95	0.95	0.95
chr16	69069346	69069977	0.94	0.95	0.91	0.91	0.85	0.91	0.84	0.96	0.90	0.96	0.97	0.86	0.97	0.94	0.94	0.94	0.95	0.96	0.88	0.72	0.69	0.69	0.94	0.95	0.95	0.95	0.96	0.93	0.73	0.13	0.86	0.86	0.97	0.97	0.63	0.93	0.93	0.95	0.91
chr16	69099395	69099617	0.93	0.95	0.93	0.90	0.92	0.91	0.90	0.96	0.79	0.96	0.97	0.94	0.82	0.86	0.93	0.93	0.95	0.91	0.57	0.94	0.84	0.80	0.94	0.95	0.95	0.96	0.94	0.89	0.87	0.78	0.96	0.90	0.94	0.95	0.10	0.86	0.85	0.90	0.92
chr16	69526730	69527130	0.95	0.94	0.88	0.88	0.90	0.89	0.82	0.95	0.63	0.94	0.94	0.96	0.95	0.86	0.91	0.93	0.93	0.09	0.03	0.62	0.80	0.65	0.92	0.95	0.95	0.96	0.94	0.89	0.83	0.87	0.95	0.90	0.89	0.53	0.72	0.94	0.91	0.81	0.86
chr16	69780233	69780933	0.96	0.96	0.92	0.94	0.97	0.93	0.85	0.96	0.95	0.96	0.93	0.98	0.98	0.96	0.95	0.96	0.97	0.96	0.96	0.97	0.96	0.88	0.97	0.98	0.98	0.98	0.97	0.32	0.95	0.97	0.88	0.93	0.54	0.94	0.95	0.92	0.97	0.98	0.98
chr16	69799909	69800223	0.87	0.93	0.77	0.93	0.65	0.93	0.85	0.98	0.57	0.07	0.87	0.98	0.97	0.96	0.96	0.93	0.96	0.92	0.93	0.96	0.95	0.83	0.96	0.97	0.97	0.98	0.97	0.92	0.94	0.87	0.93	0.96	0.98	0.97	0.86	0.98	0.95	0.97	0.97
chr16	69815064	69815282	0.98	0.97	0.96	0.93	1.00	0.95	0.93	0.99	0.88	0.94	0.96	0.66	0.95	0.04	0.95	0.95	0.95	0.96	0.89	0.99	0.93	0.86	0.96	0.98	0.98	0.98	0.98	0.95	0.96	0.98	0.97	0.98	0.96	0.98	0.97	0.91	0.95	0.92	0.96
chr16	69872742	69873367	0.91	0.93	0.92	0.93	0.95	0.88	0.91	0.83	0.82	0.96	0.95	0.97	0.96	0.94	0.92	0.92	0.92	0.91	0.16	0.93	0.84	0.85	0.95	0.97	0.94	0.79	0.95	0.93	0.93	0.94	0.96	0.93	0.98	0.95	0.94	0.93	0.94	0.96	0.96
chr16	69882077	69882738	0.96	0.96	0.95	0.95	0.95	0.95	0.93	0.97	0.83	0.96	0.97	0.97	0.97	0.86	0.96	0.95	0.97	0.96	0.96	0.97	0.95	0.85	0.96	0.92	0.97	0.98	0.96	0.94	0.86	0.77	0.94	0.89	0.97	0.97	0.86	0.88	0.14	0.93	0.95
chr16	69907193	69907420	0.86	0.89	0.82	0.92	0.76	0.77	0.84	0.98	0.69	0.74	0.73	0.96	0.96	0.95	0.11	0.83	0.89	0.87	0.97	0.96	0.88	0.88	0.97	0.98	0.96	0.90	0.92	0.91	0.91	0.80	0.61	0.85	0.52	0.91	0.85	0.97	0.89	0.95	0.92
chr16	69972388	69972814	0.90	0.89	0.90	0.90	0.81	0.88	0.88	0.95	0.28	0.95	0.95	0.92	0.91	0.84	0.93	0.93	0.90	0.93	0.91	0.89	0.86	0.75	0.94	0.95	0.95	0.96	0.95	0.91	0.89	0.92	0.95	0.88	0.95	0.91	0.93	0.90	0.91	0.87	0.90
chr16	70236188	70236868	0.94	0.94	0.89	0.91	0.90	0.92	0.89	0.95	0.89	0.94	0.95	0.97	0.95	0.94	0.92	0.93	0.93	0.94	0.92	0.55	0.78	0.83	0.95	0.95	0.96	0.97	0.94	0.88	0.91	0.86	0.92	0.93	0.92	0.95	0.93	0.89	0.76	0.05	0.68
chr16	70292284	70292974	0.95	0.95	0.93	0.93	0.94	0.95	0.92	0.96	0.93	0.95	0.93	0.94	0.97	0.28	0.95	0.95	0.92	0.98	0.96	0.97	0.96	0.81	0.96	0.97	0.97	0.98	0.96	0.96	0.95	0.94	0.97	0.94	0.96	0.97	0.95	0.96	0.06	0.95	0.94
chr16	70387731	70388099	0.95	0.95	0.95	0.94	0.94	0.91	0.93	0.97	0.94	0.96	0.85	0.97	0.97	0.92	0.94	0.94	0.96	0.97	0.96	0.96	0.96	0.93	0.96	0.97	0.96	0.94	0.97	0.25	0.74	0.91	0.94	0.89	0.96	0.95	0.96	0.96	0.92	0.95	0.95
chr16	70423233	70423441	0.94	0.91	0.93	0.94	0.93	0.79	0.92	0.93	0.91	0.96	0.95	0.97	0.98	0.93	0.96	0.96	0.95	0.97	0.97	0.95	0.95	0.86	0.96	0.98	0.75	0.22	0.96	0.93	0.86	0.92	0.95	0.89	0.94	0.95	0.94	0.91	0.95	0.87	0.87
chr16	70480933	70481138	0.96	0.96	0.94	0.93	0.93	0.93	0.91	0.94	0.92	0.95	0.95	0.96	0.95	0.91	0.84	0.13	0.09	0.96	0.95	0.96	0.97	0.91	0.96	0.98	0.97	0.97	0.93	0.70	0.93	0.92	0.95	0.97	0.97	0.97	0.92	0.93	0.92	0.93	0.89
chr16	70713048	70713257	0.91	0.86	0.86	0.92	0.67	0.84	0.78	0.54	0.62	0.93	0.09	0.97	0.96	0.91	0.74	0.86	0.94	0.62	0.93	0.87	0.88	0.64	0.72	0.71	0.94	0.93	0.93	0.78	0.94	0.92	0.92	0.92	0.95	0.74	0.90	0.98	0.92	0.96	0.94
chr16	70777779	70778244	0.92	0.93	0.90	0.93	0.89	0.86	0.78	0.93	0.35	0.88	0.95	0.96	0.95	0.94	0.92	0.91	0.93	0.94	0.95	0.97	0.97	0.83	0.96	0.96	0.97	0.96	0.97	0.90	0.95	0.95	0.28	0.95	0.96	0.90	0.95	0.95	0.95	0.81	0.96
chr16	71527471	71527692	0.94	0.94	0.92	0.88	0.94	0.95	0.87	0.97	0.94	0.95	0.97	0.85	0.97	0.88	0.97	0.98	0.97	0.96	0.96	0.96	0.96	0.69	0.94	0.94	0.94	0.95	0.96	0.89	0.96	0.97	0.97	0.98	0.98	0.96	0.97	0.04	0.96	0.97	0.97
chr16	71838276	71838658	0.90	0.88	0.87	0.87	0.85	0.84	0.82	0.93	0.77	0.91	0.95	0.92	0.87	0.82	0.79	0.86	0.87	0.32	0.88	0.87	0.81	0.79	0.92	0.92	0.95	0.96	0.95	0.93	0.85	0.82	0.92	0.87	0.96	0.95	0.88	0.86	0.92	0.91	0.84
chr16	72004777	72005142	0.89	0.90	0.89	0.79	0.88	0.85	0.78	0.93	0.88	0.93	0.94	0.92	0.92	0.78	0.85	0.82	0.79	0.33	0.91	0.84	0.90	0.86	0.94	0.96	0.95	0.96	0.94	0.86	0.91	0.91	0.91	0.86	0.92	0.93	0.88	0.80	0.87	0.98	0.96
chr16	72283896	72284398	0.90	0.92	0.82	0.88	0.91	0.92	0.84	0.96	0.92	0.77	0.94	0.92	0.90	0.83	0.92	0.95	0.90	0.98	0.94	0.96	0.97	0.70	0.91	0.95	0.96	0.97	0.95	0.94	0.95	0.97	0.98	0.96	0.96	0.97	0.97	0.13	0.93	0.97	0.96
chr16	72284705	72285041	0.90	0.93	0.91	0.86	0.92	0.89	0.87	0.94	0.87	0.94	0.96	0.83	0.71	0.74	0.70	0.82	0.76	0.96	0.95	0.96	0.91	0.56	0.91	0.87	0.95	0.94	0.93	0.86	0.84	0.89	0.88	0.91	0.74	0.88	0.70	0.02	0.91	0.97	0.96
chr16	72298276	72298666	0.90	0.91	0.91	0.86	0.85	0.90	0.83	0.95	0.90	0.97	0.95	0.90	0.95	0.89	0.91	0.94	0.93	0.71	0.94	0.98	0.97	0.68	0.91	0.94	0.97	0.96	0.95	0.92	0.93	0.92	0.97	0.94	0.93	0.97	0.96	0.88	0.85	0.91	0.06
chr16	72411307	72411590	0.90	0.91	0.86	0.76	0.87	0.83	0.75	0.77	0.81	0.96	0.97	0.92	0.98	0.78	0.95	0.97	0.98	0.97	0.95	0.93	0.76	0.67	0.86	0.90	0.95	0.97	0.87	0.80	0.84	0.92	0.93	0.91	0.94	0.95	0.94	0.90	0.10	0.96	0.92
chr16	72425249	72425842	0.91	0.93	0.83	0.85	0.93	0.92	0.85	0.92	0.79	0.02	0.06	0.94	0.94	0.93	0.94	0.94	0.94	0.94	0.93	0.94	0.95	0.79	0.95	0.96	0.97	0.97	0.97	0.90	0.95	0.96	0.96	0.96	0.95	0.94	0.95	0.91	0.95	0.97	0.95
chr16	72425885	72426404	0.97	0.96	0.83	0.93	0.93	0.94	0.89	0.93	0.92	0.03	0.09	0.96	0.96	0.94	0.96	0.97	0.95	0.98	0.97	0.98	0.97	0.85	0.95	0.97	0.98	0.97	0.96	0.95	0.97	0.97	0.96	0.98	0.97	0.95	0.97	0.95	0.96	0.97	0.97
chr16	72426543	72426816	0.94	0.96	0.87	0.91	0.92	0.86	0.90	0.96	0.83	0.04	0.13	0.95	0.94	0.91	0.93	0.96	0.92	0.94	0.98	0.97	0.96	0.83	0.96	0.98	0.97	0.98	0.97	0.95	0.96	0.97	0.82	0.96	0.87	0.74	0.95	0.95	0.95	0.97	0.97
chr16	72428887	72429492	0.92	0.91	0.67	0.85	0.88	0.90	0.83	0.94	0.72	0.03	0.14	0.89	0.92	0.82	0.88	0.89	0.89	0.96	0.94	0.95	0.95	0.79	0.92	0.96	0.95	0.96	0.94	0.91	0.93	0.95	0.95	0.95	0.93	0.96	0.93	0.94	0.94	0.97	0.97
chr16	72838002	72838570	0.94	0.92	0.65	0.93	0.77	0.92	0.81	0.96	0.53	0.98	0.93	0.97	0.24	0.94	0.64	0.59	0.96	0.91	0.93	0.74	0.87	0.70	0.89	0.92	0.95	0.96	0.96	0.92	0.96	0.94	0.94	0.93	0.92	0.93	0.74	0.97	0.94	0.97	0.97
chr16	72861031	72861239	0.92	0.93	0.87	0.82	0.92	0.92	0.94	0.96	0.90	0.96	0.68	0.97	0.90	0.91	0.28	0.61	0.72	0.97	0.88	0.96	0.95	0.68	0.86	0.94	0.97	0.94	0.84	0.88	0.93	0.95	0.94	0.95	0.96	0.97	0.93	0.95	0.91	0.93	0.88
chr16	72908963	72909139	0.95	0.95	0.90	0.96	0.97	0.86	0.92	0.94	0.89	0.86	0.88	0.98	0.93	0.96	0.53	0.18	0.86	0.95	0.95	0.97	0.94	0.70	0.90	0.95	0.96	0.96	0.92	0.94	0.94	0.94	0.96	0.95	0.96	0.96	0.97	0.95	0.96	0.95	0.92
chr16	72915152	72915711	0.95	0.95	0.90	0.95	0.94	0.94	0.92	0.97	0.95	0.96	0.97	0.97	0.97	0.97	0.97	0.98	0.98	0.95	0.83	0.97	0.96	0.70	0.84	0.91	0.96	0.95	0.92	0.91	0.94	0.94	0.93	0.93	0.98	0.96	0.18	0.97	0.96	0.95	0.97
chr16	73129954	73130195	0.79	0.90	0.79	0.85	0.22	0.87	0.72	0.96	0.73	0.97	0.95	0.97	0.98	0.94	0.96	0.97	0.92	0.95	0.95	0.97	0.94	0.69	0.93	0.96	0.97	0.96	0.95	0.91	0.89	0.95	0.96	0.90	0.94	0.90	0.95	0.94	0.93	0.95	0.96
chr16	73642853	73643108	0.82	0.85	0.83	0.09	0.75	0.82	0.55	0.88	0.66	0.96	0.93	0.77	0.90	0.75	0.88	0.89	0.83	0.92	0.95	0.83	0.92	0.62	0.90	0.92	0.93	0.93	0.90	0.78	0.67	0.95	0.94	0.91	0.77	0.78	0.91	0.86	0.89	0.93	0.93
chr16	74206095	74206353	0.77	0.92	0.92	0.82	0.82	0.84	0.83	0.95	0.83	0.96	0.95	0.93	0.95	0.95	0.92	0.92	0.93	0.94	0.95	0.97	0.95	0.71	0.94	0.95	0.95	0.97	0.94	0.89	0.88	0.91	0.71	0.24	0.91	0.91	0.95	0.88	0.93	0.90	0.89
chr16	74461086	74461327	0.93	0.95	0.93	0.93	0.93	0.91	0.91	0.95	0.92	0.96	0.94	0.97	0.94	0.08	0.95	0.96	0.97	0.96	0.96	0.96	0.96	0.91	0.96	0.99	0.98	0.97	0.96	0.93	0.96	0.95	0.92	0.97	0.96	0.97	0.95	0.22	0.91	0.96	0.96
chr16	74468617	74469071	0.89	0.93	0.94	0.91	0.78	0.90	0.89	0.85	0.90	0.92	0.87	0.97	0.98	0.96	0.93	0.95	0.93	0.95	0.95	0.95	0.95	0.90	0.95	0.95	0.97	0.97	0.96	0.69	0.87	0.94	0.92	0.92	0.86	0.21	0.95	0.95	0.96	0.96	0.95
chr16	74509229	74509507	0.95	0.95	0.95	0.94	0.97	0.96	0.95	0.98	0.93	0.22	0.89	0.97	0.97	0.97	0.98	0.97	0.97	0.97	0.95	0.97	0.97	0.91	0.97	0.97	0.98	0.98	0.97	0.97	0.97	0.96	0.97	0.97	0.97	0.97	0.96	0.96	0.97	0.97	0.97
chr16	74625376	74625633	0.94	0.94	0.91	0.91	0.93	0.92	0.89	0.96	0.91	0.93	0.92	0.96	0.96	0.94	0.93	0.94	0.94	0.23	0.95	0.95	0.92	0.87	0.95	0.96	0.97	0.96	0.95	0.91	0.89	0.92	0.94	0.95	0.97	0.93	0.90	0.72	0.90	0.90	0.92
chr16	74747577	74748206	0.76	0.84	0.80	0.76	0.69	0.83	0.73	0.92	0.84	0.05	0.89	0.86	0.95	0.95	0.93	0.95	0.94	0.94	0.94	0.98	0.95	0.65	0.85	0.91	0.94	0.96	0.91	0.94	0.95	0.94	0.95	0.94	0.97	0.96	0.95	0.95	0.93	0.96	0.95
chr16	74748227	74748387	0.81	0.84	0.76	0.77	0.75	0.79	0.76	0.87	0.68	0.05	0.88	0.80	0.92	0.93	0.86	0.93	0.90	0.92	0.92	0.92	0.94	0.72	0.87	0.92	0.93	0.95	0.93	0.92	0.94	0.89	0.94	0.95	0.95	0.94	0.88	0.87	0.93	0.94	0.92
chr16	74748660	74748984	0.84	0.85	0.81	0.74	0.84	0.84	0.71	0.91	0.25	0.05	0.84	0.87	0.89	0.90	0.83	0.89	0.89	0.92	0.93	0.94	0.94	0.75	0.93	0.94	0.96	0.97	0.93	0.82	0.88	0.91	0.94	0.91	0.88	0.89	0.94	0.93	0.90	0.95	0.95
chr16	75095291	75095462	0.84	0.95	0.80	0.93	0.95	0.95	0.91	0.98	0.93	0.05	0.88	0.98	0.98	0.96	0.94	0.93	0.96	0.97	0.93	0.98	0.96	0.81	0.95	0.95	0.95	0.95	0.78	0.88	0.85	0.90	0.96	0.98	0.88	0.93	0.96	0.96	0.96	0.97	0.97
chr16	75120639	75120846	0.93	0.94	0.91	0.86	0.86	0.94	0.86	0.97	0.75	0.95	0.95	0.12	0.94	0.91	0.94	0.94	0.92	0.96	0.93	0.97	0.91	0.81	0.96	0.97	0.96	0.97	0.97	0.91	0.92	0.84	0.96	0.93	0.89	0.94	0.81	0.92	0.95	0.97	0.97
chr16	75217849	75218250	0.91	0.93	0.89	0.88	0.88	0.89	0.89	0.96	0.84	0.96	0.94	0.96	0.96	0.18	0.92	0.91	0.92	0.94	0.96	0.97	0.92	0.60	0.94	0.95	0.93	0.96	0.86	0.92	0.94	0.95	0.97	0.95	0.97	0.95	0.94	0.95	0.94	0.92	0.92
chr16	75220268	75221007	0.88	0.90	0.85	0.86	0.89	0.90	0.84	0.94	0.82	0.94	0.96	0.92	0.92	0.07	0.87	0.85	0.88	0.88	0.87	0.91	0.90	0.54	0.90	0.92	0.92	0.94	0.81	0.87	0.88	0.87	0.93	0.88	0.92	0.96	0.89	0.91	0.88	0.88	0.89
chr16	75228937	75229399	0.87	0.88	0.84	0.88	0.86	0.90	0.85	0.88	0.87	0.90	0.90	0.94	0.89	0.06	0.88	0.87	0.91	0.94	0.93	0.95	0.94	0.69	0.87	0.94	0.94	0.94	0.90	0.91	0.89	0.90	0.93	0.92	0.95	0.88	0.93	0.91	0.91	0.93	0.91
chr16	75229436	75229840	0.95	0.95	0.93	0.95	0.95	0.94	0.93	0.92	0.90	0.95	0.90	0.97	0.94	0.07	0.94	0.94	0.95	0.92	0.96	0.98	0.96	0.79	0.94	0.96	0.97	0.97	0.96	0.94	0.96	0.96	0.97	0.97	0.97	0.93	0.96	0.94	0.96	0.97	0.97
chr16	75598305	75598604	0.96	0.96	0.94	0.92	0.95	0.78	0.93	0.95	0.90	0.96	0.88	0.96	0.96	0.91	0.95	0.94	0.95	0.96	0.95	0.97	0.96	0.81	0.95	0.97	0.91	0.21	0.96	0.94	0.94	0.96	0.96	0.95	0.96	0.95	0.95	0.97	0.95	0.95	0.95
chr16	76820539	76820719	0.94	0.94	0.86	0.81	0.89	0.86	0.87	0.94	0.65	0.93	0.94	0.94	0.97	0.97	0.95	0.94	0.96	0.95	0.85	0.97	0.78	0.69	0.94	0.92	0.95	0.94	0.92	0.92	0.86	0.02	0.93	0.92	0.97	0.97	0.34	0.95	0.93	0.95	0.91
chr16	77344295	77344488	0.96	0.89	0.90	0.61	0.84	0.88	0.62	0.93	0.05	0.97	0.93	0.82	0.96	0.76	0.96	0.93	0.98	0.96	0.97	0.97	0.95	0.61	0.86	0.94	0.93	0.94	0.91	0.80	0.82	0.92	0.95	0.90	0.90	0.97	0.97	0.54	0.82	0.95	0.93
chr16	77705281	77705538	0.90	0.89	0.89	0.59	0.79	0.89	0.74	0.94	0.73	0.95	0.96	0.97	0.93	0.82	0.01	0.01	0.42	0.94	0.96	0.89	0.82	0.69	0.93	0.93	0.96	0.96	0.94	0.90	0.93	0.96	0.95	0.90	0.95	0.96	0.95	0.96	0.91	0.92	0.94
chr16	77737752	77738151	0.94	0.95	0.89	0.76	0.91	0.91	0.84	0.95	0.71	0.96	0.97	0.97	0.95	0.93	0.88	0.02	0.50	0.96	0.18	0.97	0.90	0.61	0.91	0.94	0.92	0.65	0.64	0.97	0.92	0.94	0.93	0.91	0.97	0.98	0.97	0.99	0.92	0.94	0.91
chr16	77789539	77789827	0.08	0.10	0.07	0.05	0.09	0.05	0.12	0.20	0.09	0.16	0.10	0.18	0.47	0.13	0.20	0.15	0.74	0.12	0.25	0.08	0.18	0.02	0.08	0.05	0.04	0.04	0.06	0.04	0.13	0.16	0.18	0.10	0.18	0.12	0.12	0.14	0.08	0.15	0.20
chr16	78270410	78271069	0.94	0.92	0.91	0.70	0.86	0.91	0.69	0.98	0.72	0.95	0.97	0.96	0.09	0.85	0.82	0.85	0.93	0.92	0.95	0.97	0.94	0.70	0.94	0.96	0.95	0.96	0.96	0.90	0.95	0.96	0.96	0.95	0.96	0.96	0.95	0.51	0.94	0.95	0.95
